,"FTR Truck Loadings (000s, SA)_freight_m_trucking","FTR Active Truck Utilization (%, SA)_freight_m_trucking","Reefer Trailer Loadings (000s, SA)_freight_m_trucking","Tank Trailer Loadings (000s, SA)_freight_m_trucking","Chemicals & Allied Products (000s, SA)_freight_m_trucking",Spot TL Rates (w/o FSC)_rates_m_trucking,Total LTL (w/o FSC)_rates_m_trucking,Total LTL (w/ FSC)_rates_m_trucking,Contract TL Tank Rates (w/o FSC)_rates_m_trucking,"OEM Net Orders (U.S. / CAN, units)_indicators_m_trucking","New Truck Lead Time (N.A. Backlog/Build Ratio, months)_indicators_m_trucking",B50001_indicators_m_trucking,GMFN_indicators_m_trucking,G325_indicators_m_trucking,G332_indicators_m_trucking,ISM_indicators_m_trucking,PORTEU_indicators_m_trucking,MANEMP_indicators_m_trucking,USTRADE_indicators_m_trucking,LEI_indicators_m_trucking,SPREAD_indicators_m_trucking,D/GAL_indicators_m_trucking,D/STOCK_indicators_m_trucking,Change in Payroll Employment (000's)_driver_indicators_m_trucking,Change in Truck Emp. (000's)_driver_indicators_m_trucking,LABORINDEX_driver_indicators_m_trucking,"Total Class 8, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer","Total Class 8, North America_Factory Shipments (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Factory Shipments (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Class 8, North America_Retail Sales (Ward's)_indicators_m_trucking_trailer","Total Class 8, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Inventories (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_M/M % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_Y/Y % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer","Total Classes 4-7, North America_Factory Shipments (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Factory Shipments (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Retail Sales (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Inventories (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Class 4, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer","Class 4, North America_Retail Sales (Ward's)_indicators_m_trucking_trailer","Class 4, North America_Inventories (Ward's)_indicators_m_trucking_trailer","Class 6-7 Bus, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer",FTR Truck Loadings_M/M % Change_freight_m_trucking_trailer,FTR Truck Loadings_Y/Y % Change_freight_m_trucking_trailer,FTR Rail Intermodal Loadings_M/M % Change_freight_m_trucking_trailer,FTR Rail Intermodal Loadings_Y/Y % Change_freight_m_trucking_trailer,"FTR Rail Carloadings (carload + intermodal) (000s, SA)_freight_m_trucking_trailer",FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,FTR Rail Carloadings_Y/Y % Change_freight_m_trucking_trailer,"FTR Class 8 Truck Utilization (%, SA)_freight_m_trucking_trailer",BUILD FOR_Total_Trailer,BUILD FOR_Flatbed,BUILD FOR_Liquid_Tank,BUILD FOR_Dry_Tank,BUILD FOR_Dump,BUILD FOR_Lowbed,BUILD FOR_All_Other,Change in Distillate Fuel Inventories_x,Intermodal Revenue Movements (IANA-ETSO)_Total_x,FTR Intermodal Competitive Index_Intermodal Competitive Index (0=Neutral)_x,U.S. Origin Intermodal Volumes_International_x,Canada Origin Intermodal Volumes_Domestic_x,"N.A. Port Activity, Total TEUs_Exports_x","West Coast Port Activity, Total TEUs_Exports_x","Gulf Coast Port Activity, Total TEUs_Exports_x","Western Canadian Port Activity, Total TEUs_Exports_x",Year_Month,Sum of Sales
0,0.5946880503952059,0.37514557878420174,0.4007416778162751,0.6816722598895888,1.0,0.3116097602310035,0.712680657059793,0.6478171195864642,0.4722980115103774,0.2674928829812282,0.03979452162262834,0.7661708707097037,1.0,0.9999999999999996,1.0,0.6099290780141842,0.4552188071709192,1.0,0.8666413373860182,0.6509433962264151,1.0,0.48428835489833655,0.33274424947469483,0.8134386733416771,0.8333333333333334,0.0014986743062745944,0.5412615307903266,0.3827051041835887,0.20449400137433854,0.3620689655172414,0.6772598500744773,0.3872119379527804,0.19618634638893584,0.42582017394149874,0.1351374359808201,0.651809979345581,0.42768958187852396,0.35426688911357307,0.5837502959260921,0.4354186714584801,0.3639714939185976,0.18182032003676196,0.7959405581732512,0.6947110860154337,0.9999999999999999,1.0,0.5137825525719693,0.3644090302041505,0.37361291148671205,0.3848415180690614,0.7658362533624719,0.538354164223294,0.541798951231412,0.46784034380180817,0.2142382163113632,0.20113979215554814,0.6480891719745223,0.2168141592920354,0.46026097271648875,0.24455205811138014,0.13081787820649476,0.31808499307700505,0.3459527104864042,0.7029311698633693,0.8275029138912182,0.6463616913868122,0.43389259978538286,0.5269160630543404,0.2379301173168431,0.16183787391541782,2008-01,282604.1099999997
1,0.5695003486456631,0.35933154300532166,0.38505234770928887,0.6399434555036612,0.9582216623081248,0.3560393439865097,0.712680657059793,0.6623830144366782,0.4796166503257653,0.15845801494038828,0.05910221933751855,0.7511564312913701,0.9452582681458797,0.9509771827716533,0.9923419569227971,0.5141843971631206,0.4493458953144599,0.987235915492958,0.8510638297872344,0.6792452830188679,0.8376963350785342,0.509796672828096,0.14729415693750614,0.809918648310388,0.8148148148148149,0.0,0.3728674715959683,0.19723327988938555,0.17606526728681304,0.21730494199904654,0.24206070900076188,0.37288905812284884,0.09820847862310839,0.37094731164563444,0.09655955788661702,0.5652244809218394,0.31340360218080315,0.4792310263149555,0.17624277933284882,0.38418045388013333,0.6239182158270885,0.16050404849986727,1.0,0.5862977602108036,0.9901390335027868,0.5452674897119341,0.7019938179966012,0.40130166342825613,0.4839884688762787,0.4264039279889324,0.8257361128525778,0.5581013174932062,0.609164188074011,0.49188054463797926,0.2713084294934481,0.25041904123365744,0.78343949044586,0.25442477876106195,0.5658362989323844,0.30024213075060535,0.207560576991402,0.06764685947772547,0.26631045420049326,0.6720702918794386,0.6823357541044992,0.5972018558138417,0.6118790857839658,0.7588410310535314,0.36496480725028557,0.4096535404405073,2008-02,262474.39999999985
2,0.5496471958847402,0.34821461232161344,0.38010740989617187,0.5982322225582699,0.9211820804731299,0.41386405391750647,0.7395742667601635,0.7322074093720317,0.4653000960484679,0.2345726578051756,0.06562470355259403,0.7406015998364386,0.9132028186146002,0.902596325945829,0.9922396222714314,0.5390070921985815,0.39836301187955503,0.9709507042253529,0.8537234042553195,0.6981132075471698,0.8324607329842935,0.6961182994454713,0.01019996382004651,0.8110919899874843,0.8703703703703703,0.00821473735659417,0.39316878583894294,0.3021493743745563,0.24642598843324748,0.2847211187033211,0.6182711933406222,0.34414631544118435,0.14214523681323873,0.46765778334919883,0.0869283329343638,0.33030764213501473,0.21596986244567318,0.31962519630168296,0.6329901921480016,0.35661211460047376,0.3289869484834298,0.1581102665786237,0.6158028271112722,0.9999999999999999,0.8911006308568629,0.27242798353909464,0.7230351199727222,0.29398224491124075,0.44937996708058286,0.39237704788940153,0.8232996494292155,0.4753579113211165,0.5252139591761673,0.49234443046569254,0.2941130451789556,0.2701977874622863,0.8375796178343949,0.26769911504424776,0.6073546856465006,0.324455205811138,0.23825765650536485,0.15176366928417206,0.2592055428017339,0.6615098718816776,0.6273251797119335,0.6405442438520157,0.6635459345662482,0.8612654381690004,0.2764846515163799,0.31688004368666944,2008-03,326059.6800000001
3,0.5552635383681293,0.44695587897346556,0.44482231982075415,0.6513170578282321,0.883837652421283,0.5472727760590901,0.7799146813107192,0.914144510931139,0.44781566516010596,0.22637470836276463,0.025821471497093892,0.7069011048923648,0.8691881802738921,0.8423540815502277,0.938658904393852,0.5567375886524821,0.4690326886482562,0.944542253521127,0.8153495440729488,0.7075471698113207,0.6020942408376966,0.7711645101663585,0.0,0.8036217146433041,0.8333333333333334,0.04460101845077169,0.4853082594294263,0.3515053640001211,0.27501019762637213,0.22469410456062294,0.3680788819740817,0.4922972435595,0.0,0.3308807709920893,0.08792106961103496,0.39129253179693446,0.41601966216243164,0.3037305479757201,0.16814342378716307,0.33868578042588815,0.4393496331422648,0.0954941368084431,0.649873142442914,0.499905891210239,0.9099650885037055,0.44814814814814813,0.6679372069884553,0.4608267566338275,0.34208502898252735,0.41661097377652706,0.6533978429331315,0.2578440279735361,0.5704369135090328,0.5423545068539193,0.26477606102092704,0.20113979215554814,0.624203821656051,0.2964601769911504,0.6144721233689205,0.2953995157384988,0.1092162296596319,0.3725007019820099,0.34854793891267977,0.7801851846607419,0.7532237393794596,0.8032885405899182,0.6444886687439271,0.7928444650883224,0.3804823748039585,0.38192464049511554,2008-04,215387.48999999985
4,0.5155215693924173,0.4199953697041705,0.45881260553888925,0.6228331106745038,0.8465818834987049,0.6398373411407634,0.7698295776730788,0.9508189667575238,0.4157575990098654,0.1791990410753655,0.034058241148351834,0.6820218593200269,0.8460300316674703,0.795729050196202,0.9079272400628793,0.5567375886524821,0.5110025822035539,0.929137323943662,0.7944528875379939,0.6886792452830188,0.5340314136125657,0.8972273567467652,0.09587687683508905,0.8060857321652065,0.7962962962962963,0.08216209531745378,0.44712754211632305,0.2650344665204099,0.34257703939976514,0.24316701096456378,0.5163854026415077,0.6124214154463719,0.021061994237962678,0.6624836697580365,0.09263173594965196,0.5560930535927818,0.493559519616731,0.3819110816200933,0.47696887440668445,0.4376300010233439,0.7219669913628439,0.1154885995466467,0.9169989126495107,0.7133446263881046,0.9306669933239419,0.31687242798353904,0.6239547488917465,0.3657061144677732,0.5267301290575667,0.4618998693631473,0.7383438742850823,0.5966707433045412,0.659606481221233,0.5284084404807743,0.29423039311558774,0.2236004022795843,0.6831210191082803,0.32079646017699115,0.6725978647686832,0.324455205811138,0.14332409578625743,0.5570251454797199,0.379162636287971,0.8372751245941275,0.7859648012488858,0.8070386307363158,0.6937280984399743,0.8138993406351831,0.42810368263799403,0.45487227716764767,2008-05,499559.8999999983
5,0.4898013382362709,0.40883452200460635,0.4276128042659346,0.598706062247055,0.8051571332279708,0.7280352714096712,0.7933614861609022,1.0,0.4225333199300829,0.21066375564545475,0.033351583371957996,0.6717225927913657,0.7800578822641189,0.7398487354230352,0.848453751844156,0.5921985815602835,0.5316721442261977,0.902728873239437,0.780775075987842,0.6981132075471698,0.4869109947643979,0.9903881700554527,0.20398536103419018,0.8063204005006258,0.75,0.12872699542300836,0.4238344552480679,0.2728189336462546,0.3235558956512293,0.2550850150961385,0.5021987856305812,0.46701882929303284,0.022891866595154742,0.5752555446324108,0.07908667080492038,0.5927818241113165,0.38476745763427034,0.39278746641163836,0.5395485545385228,0.33801464173561296,0.5104683324084924,0.12293347804545024,0.7390358825661472,0.6672313194052324,0.890243155509279,0.45226337448559667,0.6331543258780996,0.31873133248458085,0.2932652597185166,0.36931407116558007,0.6409146569146758,0.34764313083125464,0.5290898190560839,0.5186046525452683,0.37563074515939765,0.2859537378478042,0.8503184713375797,0.3805309734513274,0.8351126927639383,0.40435835351089594,0.23825765650536485,0.5783024622624153,0.32504407270901825,0.7056792900880153,0.7261469655976245,0.7094160917329744,0.67128836853296,0.8224279440409574,0.3868150504515926,0.33958801043625986,2008-06,576668.1100000008
6,0.47512822051121795,0.4977303469530332,0.46630622644068787,0.5410852625978846,0.711669910170873,0.7675299062939307,0.7698295776730788,0.9729623344452025,0.3734278575681733,0.1710010916329545,0.048298590740695174,0.6485385945632829,0.7457899041587144,0.6923776767835661,0.7974910954640166,0.5992907801418439,0.5472569120417227,0.8701584507042259,0.7670972644376901,0.6320754716981132,0.47643979057591634,1.0000000000000002,0.331951073570544,0.8053426157697121,0.7962962962962963,0.1568882339345219,0.5918367346938775,0.39746446559987086,0.6426382158977233,0.3566264102971555,0.6752330694645806,0.48977276940045483,0.0764742697635391,0.4707326099155905,0.07023737300207611,0.6268616153929776,0.3821515745506407,0.4221651216873173,0.509139372002138,0.485517027253124,0.31220662549915634,0.07086510844503979,0.750271837622327,0.7427065687935253,0.7887548232988301,0.5205761316872428,0.6788532098763758,0.40208064306929775,0.4655943294479775,0.427522232782823,0.5929122974723018,0.4114036063775801,0.38266120870828,0.5089966540961806,0.3079601017015451,0.21622527656721421,0.694267515923567,0.30973451327433627,0.6334519572953736,0.3825665859564165,0.3098841753712784,0.6128448184045159,0.4013665203693466,0.8260540505252357,0.8021270087390366,0.7704031346907378,0.6465214667303145,0.8004876353439065,0.42209904334149195,0.29361082458588683,2008-07,192745.3100000001
7,0.4189947700386081,0.4237545386751256,0.39944370314122324,0.4917531886829547,0.6603997272335635,0.7382938987709229,0.7294891631225244,0.9106156953788465,0.21040083218648276,0.18722575397589847,0.033945391973879926,0.5818830023767538,0.6911792462722559,0.6062912119447144,0.7969083564770729,0.5709219858156029,0.5958012122608042,0.838468309859155,0.7450607902735564,0.6226415094339622,0.4554973821989532,0.8517560073937152,0.36071413662107066,0.8021354818523154,0.8055555555555556,0.191322410775145,0.4846315489546605,0.23418582706234647,0.5260888457719215,0.3451851263308438,0.45979241404617144,0.44404115233182123,0.11658120551695594,0.5898243141795471,0.10909650120249195,0.5892488313947168,0.34011204938227746,0.37723112031931283,0.30433689034596206,0.4185493305928414,0.4927433094771434,0.07314582179717743,0.7709314969191736,0.593261810653115,0.7583756966987198,0.5530864197530865,0.597194715411278,0.37547166062585036,0.42343582698540994,0.4275604308806759,0.5817491527161482,0.46259078106367146,0.3819241924711318,0.48576549423831583,0.3588499902210053,0.25343613811599064,0.7961783439490447,0.34513274336283184,0.7283511269276395,0.43583535108958843,0.3843530164144106,0.4402782753512331,0.40441757130662426,0.651119449248764,0.7862759679129154,0.7605471285367438,0.6356087371081782,0.7947784034368264,0.3948316040598179,0.26500212365754505,2008-08,180972.39999999973
8,0.3564734913910561,0.21723775573456194,0.47070838117182756,0.2743425586951722,0.4629045284657618,0.6224237373348847,0.679063644934331,0.8167386487995287,0.25107218957622734,0.10678738842869068,0.019471902516169565,0.3958019201444798,0.4945106222343387,0.29722341497425786,0.7454510826153324,0.4148936170212765,0.5531799783568073,0.80193661971831,0.7184650455927057,0.6981132075471698,0.3769633507853405,0.7489833641404806,0.28704618510220836,0.795017209011264,0.7314814814814815,0.22411805666991036,0.45966449406987925,0.27276806522736696,0.5669952671886581,0.34399332591768633,0.4766428723973366,0.38929753220963836,0.12706321353216715,0.6879627487746123,0.13007427062558632,0.4645613653658007,0.2866903106153706,0.299212394029093,0.38412775876420124,0.3779988655192363,0.3599562576594344,0.03756379748957228,0.575208408843784,0.6175418784114436,0.7238929380780301,0.47860082304526746,0.6218371476076744,0.34708046717745045,0.4143497907253637,0.39187874871503336,0.5522945940363491,0.43628898448916803,0.3155124278337377,0.47614848609992944,0.38345394093487184,0.271203486423064,0.8455414012738854,0.3650442477876106,0.7734282325029656,0.46246973365617433,0.4195978114119235,0.26209587621878605,0.3692647760490726,0.643562779891099,0.7461512902868535,0.7917738407173249,0.47087177371316646,0.5757285930150158,0.06698791919143465,0.17336630058855662,2008-09,206606.68000000017
9,0.48742394714847403,0.4540888642353398,0.5424665188251616,1.0,0.742316304987857,0.5121476740244193,0.6656168400841467,0.6949816561765831,0.1887203541384861,0.11074723345962029,0.0016019741735352616,0.4348437220475856,0.6066522660067521,0.4917501711185843,0.6810968000523046,0.2056737588652482,0.591366923885602,0.745598591549296,0.6888297872340425,0.6037735849056604,0.0,0.5833641404805916,0.2858772942960912,0.7941958698372966,0.8148148148148149,0.2672468999671729,0.4898315347081241,0.305929881546056,0.6078714871220738,0.3052200858096297,0.41356066622721444,0.26976581627088975,0.12322457304653794,0.41471345443858004,0.1590627460158943,0.3884661376236548,0.307471251919135,0.4000281341365858,0.22556314807858,0.38881491514639177,0.36840077545741634,0.06728029562714732,0.4411018484958318,0.6533032185206098,0.6483126110124333,0.33991769547325107,0.6417520239865143,0.3675822775431621,0.48095927006601524,0.44457380142191916,0.6526415372053831,0.6242376631834949,0.4667490107974228,0.47135148938988003,0.3548601603755134,0.25041904123365744,0.7882165605095542,0.34292035398230086,0.7200474495848161,0.43341404358353514,0.3780999076245292,0.3882105752379477,0.45780326700425156,0.5946827886298401,0.8059242968424494,0.8614630159378831,0.45070121081919146,0.49284495966624564,0.3336196431615621,0.13277410351313623,2008-10,361073.92
