Year_Month,Sum of Sales,"Food & Kindred Products (000s, SA)_freight_m_trucking",Super Long-Haul (550+ mi)_freight_m_trucking,Change in Total Transp. Emp. (000's)_driver_indicators_m_trucking,"Total Class 8, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Truck Loadings_M/M % Change_freight_m_trucking_trailer,FTR Rail Intermodal Loadings_M/M % Change_freight_m_trucking_trailer,"FTR Rail Carloadings (carload + intermodal) (000s, SA)_freight_m_trucking_trailer",FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,FTR Cl. 8 Truck Tonnage_M/M % Change_freight_m_trucking_trailer,Change in Distillate Fuel Inventories_x
2008-01,381696.5099999995,7126.929794731194,6351.102588376447,2.0,17.711598746081503,-10.826287059830886,-5.728403828798845,-2.7498820191368845,-1.8551899610147249,3093.6388153091707,1.7945642710762932,-3.5376978755981003,-2981.0
2008-02,430305.8499999997,7090.09335564118,6306.556660358188,4.0,-21.09650900248944,-16.623657204585008,2.1970778864110807,0.5904212959484845,1.8418674866223173,3167.4784605434265,2.386821786333093,0.9944829946433752,-13327.0
2008-03,451627.8099999988,7130.846968228237,6261.756218555627,0.0,12.451390417492105,-6.406103793277184,-6.795043073662876,0.9638544726819688,0.6826468915793082,3164.474987808453,-0.0948221991842079,1.5000159656483047,-9852.0
2008-04,467417.4799999996,7139.440570914413,6271.352278295261,5.0,-9.859063030144856,-20.85672537106822,-3.4302095689996093,-0.0140027293319633,-2.9112244271323084,2955.033943653713,-6.61850844015639,-0.3845133486830021,-733.0
2008-05,462676.36999999953,7179.943436123112,6275.163787726036,-12.0,3.365906623235615,14.177436595083082,5.186474221175819,-0.7945869852986731,3.273510296269766,3059.748460056244,3.543597752148253,-0.7984241162510841,6890.0
2008-06,448702.12000000034,7140.949719612425,6218.000109608813,-12.0,2.1008403361344463,4.961702127659584,-1.2618808187627728,-0.6313163254071497,-4.546455050814702,2939.645693416695,-3.92524968007798,-0.8035133231996783,7769.0
2008-07,500439.8399999997,7072.936084749621,6109.949630142382,-6.0,17.53086419753087,-6.081245439065919,-7.306656153492341,0.1797304170433999,1.225751094781535,2880.472312680842,-2.012942609661117,0.2902359058172266,9196.0
2008-08,435560.54000000056,7002.2868709281,5944.555233406624,-17.0,-1.6806722689075682,6.500906500906512,-1.802296732118802,-1.2695140750503708,-0.1863586983346099,2866.711301294343,-0.4777345481127626,-1.6058293941588309,2067.0
2008-09,434402.5300000005,7056.039038691127,5959.004168255302,-35.0,-0.1780626780626737,16.869325551232173,-5.850823843641151,-0.8321693827883059,-0.4906978003890949,2830.4021315907453,-1.2665792222329442,-1.074186790885412,-5294.0
2008-10,447714.7899999996,7332.499395568503,6129.781942675048,-15.0,-5.803305981686291,-11.999722549767633,-5.593360041403894,-0.4787275872737195,1.7404036998318162,2954.101631840281,4.3703860617153145,-0.6143127536128445,-84.0
2008-11,367527.06999999913,7407.144846684962,6102.144165707225,-41.0,-4.046206287084964,10.254591313943418,0.0974599500517703,-1.8402290055407389,-2.373614417703085,2888.191819102536,-2.2311288151818265,-2.1744383206976137,8281.0
2008-12,338708.0899999998,7264.545804532324,5862.21337649873,-27.0,-0.6118018551411142,4.496711466971681,-3.060914014483052,-2.0880670868008933,-0.6574594135340561,2843.799005241647,-1.5370452047981598,-2.097060223366632,10137.0
2009-01,373876.5500000001,7337.259238801192,5799.377022572118,-23.0,5.877680698967436,-5.001026202367109,-4.2665829671479365,4.466712361668956,-0.4565709824665753,2681.2032888860035,-5.717553035778888,6.442188617399358,-2283.0
2009-02,425350.9300000006,7375.429299027094,5695.648061702122,-24.0,-18.59839959989997,-7.388736857266309,-4.161657668684837,-2.9227656754699405,-3.780276592751109,2557.561518124301,-4.611428431190423,-4.014412773103637,4375.0
2009-03,435296.8199999997,7423.517713192197,5612.4687250056095,-34.0,20.78949389447815,-15.27993779160186,-6.85337651378658,-5.043858343037311,-7.826988640165389,2365.0398941126487,-7.527546166429911,-6.03858459294332,-2804.0
